City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,bengkulu,-3.8004,102.2655,102.2655,90,100,2.96,ID,1674755844
102,khatanga,71.9667,102.5,102.5,82,96,5.53,RU,1674755844
103,kodiak,57.79,-152.4072,-152.4072,83,35,1.24,US,1674755845
104,boyuibe,-20.4167,-63.2833,-63.2833,44,100,4.2,BO,1674755845
105,umm lajj,25.0213,37.2685,37.2685,56,47,3.73,SA,1674755846
106,snihurivka,47.0758,32.8052,32.8052,75,0,2.93,UA,1674755846
107,san patricio,28.017,-97.5169,-97.5169,41,3,4.61,US,1674755847
108,bethel,41.3712,-73.414,-73.414,63,38,2.68,US,1674755847
109,salym,60.0625,71.4789,71.4789,92,100,5.53,RU,1674755847
110,butaritari,3.0707,172.7902,172.7902,80,47,8.03,KI,1674755848
111,nanortalik,60.1432,-45.2371,-45.2371,73,100,12.83,GL,1674755848
112,rio gallegos,-51.6226,-69.2181,-69.2181,31,75,9.26,AR,1674755848
113,panaba,21.2833,-88.2667,-88.2667,93,100,6.67,MX,1674755849
114,dingle,10.9995,122.6711,122.6711,97,100,3.52,PH,1674755849
115,jamestown,42.097,-79.2353,-79.2353,93,100,7.2,US,1674755703
116,talnakh,69.4865,88.3972,88.3972,91,100,5.72,RU,1674755850
117,lara,-38.0167,144.4,144.4,80,75,2.57,AU,1674755850
118,vila franca do campo,37.7167,-25.4333,-25.4333,71,54,5.72,PT,1674755850
119,karla,59.3723,24.9275,24.9275,81,100,2.57,EE,1674755851
120,mahon,39.8885,4.2658,4.2658,81,75,3.09,ES,1674755851
121,vaini,-21.2,-175.2,-175.2,94,100,2.57,TO,1674755852
122,evensk,61.95,159.2333,159.2333,43,100,11.43,RU,1674755852
123,pevek,69.7008,170.3133,170.3133,85,44,0.74,RU,1674755852
124,tautira,-17.7333,-149.15,-149.15,79,25,8.62,PF,1674755853
125,verkhoyansk,67.5447,133.385,133.385,100,52,0.92,RU,1674755853
126,veraval,20.9,70.3667,70.3667,39,0,6.3,IN,1674755854
127,avarua,-21.2078,-159.775,-159.775,89,40,2.57,CK,1674755854
128,killybegs,54.6333,-8.45,-8.45,72,100,2.62,IE,1674755854
129,upernavik,72.7868,-56.1549,-56.1549,94,100,4.5,GL,1674755855
130,mungaa,-4.9667,34.8833,34.8833,92,100,0.64,TZ,1674755856
131,luderitz,-26.6481,15.1594,15.1594,67,0,10.27,NA,1674755857
132,maxixe,-23.8597,35.3472,35.3472,74,20,7.2,MZ,1674755857
133,terney,45.0503,136.6092,136.6092,77,0,6.1,RU,1674755858
134,orlik,52.5178,99.825,99.825,93,99,1.6,RU,1674755858
135,muros,42.7762,-9.0603,-9.0603,76,36,7.31,ES,1674755858
136,sevilla,37.3824,-5.9761,-5.9761,57,0,1.54,ES,1674755859
137,petropavlovsk-kamchatskiy,53.0452,158.6483,158.6483,50,75,2.0,RU,1674755859
138,tromso,69.6496,18.957,18.957,80,75,4.12,NO,1674755645
